Name,Variation,Color 1,Color 2,Source,Seasonal Availability,Style,Label Themes,Villager Equippable,Internal ID,Unique Entry ID
acid-washed jeans,Blue,Blue,Blue,Able Sisters,All Year,Simple,everyday; outdoorsy,No,5286,QaecPktemD3XuFdwy
acid-washed jeans,Black,Black,Black,Able Sisters,All Year,Simple,everyday; outdoorsy,No,11385,a7HNjgRFkCznkDLLH
animal-stripes skirt,Tiger,Yellow,Black,Able Sisters,All Year,Cool,everyday,No,9842,qmtHwBmtJDvtNntTs
animal-stripes skirt,Zebra,Gray,Black,Able Sisters,All Year,Cool,everyday,No,12067,4mDRmSG3scfXh3oon
apron skirt,Purple,White,Purple,Able Sisters,All Year,Simple,work,No,5710,MtsvEMQ9Z9damsycd
apron skirt,Blue,White,Light blue,Able Sisters,All Year,Simple,work,No,8921,cfzi35RpY8onR3hra
apron skirt,Beige,White,Beige,Able Sisters,All Year,Simple,work,No,8922,AmWS5iMbatqDr2eLs
athletic pants,Red,Red,White,Able Sisters,All Year,Active,outdoorsy; comfy; sporty,No,3311,iL9vd8DerEEJDJQbA
athletic pants,Green,Green,White,Able Sisters,All Year,Active,outdoorsy; comfy; sporty,No,11295,Ygp8L2zeem8ECZroK
athletic pants,Black,Black,White,Able Sisters,All Year,Active,outdoorsy; comfy; sporty,No,11296,8NcTmEpkckocYvTf2
athletic pants,Blue,Blue,White,Able Sisters,All Year,Active,outdoorsy; comfy; sporty,No,11297,R6apb74ivZCDbvEvi
athletic pants,Berry red,Red,White,Able Sisters,All Year,Active,outdoorsy; comfy; sporty,No,11298,HSgcZgAkXCBroWboG
athletic pants,Navy blue,Blue,White,Able Sisters,All Year,Active,outdoorsy; comfy; sporty,No,11299,zauG7p57gDAPSqPH4
athletic shorts,Red,Red,White,Able Sisters,All Year,Active,outdoorsy; comfy; sporty,No,4518,Pz4KvZgNanynj88ut
athletic shorts,Green,Green,White,Able Sisters,All Year,Active,outdoorsy; comfy; sporty,No,11905,Cgi5fvfgm5YEdCpNu
athletic shorts,Black,Black,White,Able Sisters,All Year,Active,outdoorsy; comfy; sporty,No,11906,XZyRpyaiPbfw5nwTD
athletic shorts,Blue,Blue,White,Able Sisters,All Year,Active,outdoorsy; comfy; sporty,No,11907,omNsW8d3EgoAs3tLL
athletic shorts,Berry red,Red,White,Able Sisters,All Year,Active,outdoorsy; comfy; sporty,No,11908,QWxKgGJSnKgHEyz5Y
athletic shorts,Navy blue,Blue,White,Able Sisters,All Year,Active,outdoorsy; comfy; sporty,No,11909,wkX3PL2R5dYC8PNJ2
basketball shorts,Purple,Purple,Yellow,Able Sisters,All Year,Active,sporty; work,No,5720,yTsGx7eQh4JWNdXB2
basketball shorts,Red,Red,Black,Able Sisters,All Year,Active,sporty; work,No,11307,TpYJQMq2Z8tEkK2Wd
basketball shorts,Green,Green,Orange,Able Sisters,All Year,Active,sporty; work,No,11308,KCggjKmE8js3MG6bq
basketball shorts,Orange,Orange,Blue,Able Sisters,All Year,Active,sporty; work,No,11309,iHFbTwYkKaqut6RnX
basketball shorts,Blue,Blue,Red,Able Sisters,All Year,Active,sporty; work,No,11310,4iB4fmJjkKNNzWJBS
basketball shorts,Yellow,Yellow,Green,Able Sisters,All Year,Active,sporty; work,No,11311,zjahPrxJ4ZBRcnq74
basketball shorts,Light blue,Light blue,Blue,Able Sisters,All Year,Active,sporty; work,No,11312,iDr7MMuWGDqgsh5Be
basketball shorts,Black,Black,Red,Able Sisters,All Year,Active,sporty; work,No,11313,gRj6pG26jHFQZB8TA
bell-bottoms,Orange,Orange,Orange,Able Sisters,All Year,Gorgeous,everyday,No,4364,sAGeX7YksW4qTsRz9
bell-bottoms,Brown,Brown,Brown,Able Sisters,All Year,Gorgeous,everyday,No,9270,AhZR3qCS8owvTgWS9
bell-bottoms,Beige,Beige,Beige,Able Sisters,All Year,Gorgeous,everyday,No,9271,h5fKoKik2BmT6JPAb
bell-bottoms,Green,Green,Green,Able Sisters,All Year,Gorgeous,everyday,No,9272,tn3suswYrh2ZcD649
bell-bottoms,Blue,Blue,Blue,Able Sisters,All Year,Gorgeous,everyday,No,9273,mRdLrYzxuYuP7yqB9
belted wraparound skirt,Yellow,Yellow,Black,Able Sisters,All Year,Simple,everyday; comfy,No,4545,6j99icX2C8n2NQSxe
belted wraparound skirt,Red,Red,Black,Able Sisters,All Year,Simple,everyday; comfy,No,8721,TuKyTJdQckfqf2nae
belted wraparound skirt,Green,Green,Black,Able Sisters,All Year,Simple,everyday; comfy,No,8722,FCtNFz4XG85wdDcbu
belted wraparound skirt,Blue,Blue,Black,Able Sisters,All Year,Simple,everyday; comfy,No,8723,Z3y37JrC5nnCjyFgC
boa shorts,Purple,Purple,Black,Able Sisters,Winter,Active,everyday; outdoorsy,No,5419,hHHSAxKeTKy94FrLh
boa shorts,Avocado,Green,Black,Able Sisters,Winter,Active,everyday; outdoorsy,No,9114,diDTCzmh2EfcQ8Est
