Name,Variation,Color 1,Color 2,Source,Seasonal Availability,Style,Label Themes,Internal ID,Unique Entry ID
antique boots,Brown,Brown,Brown,Able Sisters,All Year,Simple,everyday; fairy tale,5523,jQ9MMJXSCde9q8NPP
antique boots,Black,Black,Black,Able Sisters,All Year,Simple,everyday; fairy tale,11689,hpTunJzb4CJPueMW7
antique boots,Greige,Beige,Beige,Able Sisters,All Year,Simple,everyday; fairy tale,11690,ngk8sGuhSHQoBmwqv
armor shoes,Gray,Gray,Gray,Crafting,All Year,Cool,fairy tale; goth,5472,osBLFxSiCDnRf8eXR
babouches,Blue,Light blue,White,Kicks,All Year,Cute,comfy; vacation,6043,AvkHgWmEW5vTs4Ckc
babouches,Orange,Orange,White,Kicks,All Year,Cute,comfy; vacation,10109,hzHj4PYSRpa8fkQey
babouches,Pink,Pink,White,Kicks,All Year,Cute,comfy; vacation,10110,KrfcX2z6gFKZziGwx
babouches,Yellow,Yellow,White,Kicks,All Year,Cute,comfy; vacation,10111,BRTZYzjci4T3qodP8
babouches,Gray,Gray,Yellow,Kicks,All Year,Cute,comfy; vacation,10112,N9jHqLCE8WsfZxJHo
babouches,Purple,Purple,Yellow,Kicks,All Year,Cute,comfy; vacation,10113,sth7EXmjdbwzk439A
babouches,Mint,Green,Yellow,Kicks,All Year,Cute,comfy; vacation,10114,okW9rusWLMPm4bcDz
babouches,Red,Red,Yellow,Kicks,All Year,Cute,comfy; vacation,10115,EZKKTpCAN4CEvJJwC
ballet slippers,Pink,Pink,Pink,Kicks,All Year,Elegant,fairy tale; sporty; theatrical; work,5608,uABG45ozFPCwrBXuS
ballet slippers,Mint,Light blue,Light blue,Kicks,All Year,Elegant,fairy tale; sporty; theatrical; work,10155,bE4c36LYqcRmkajHL
ballet slippers,Blue,Blue,Blue,Kicks,All Year,Elegant,fairy tale; sporty; theatrical; work,10156,jJ565rnrzozyhRNYP
ballet slippers,Purple,Purple,Purple,Kicks,All Year,Elegant,fairy tale; sporty; theatrical; work,10157,kuEQdTi7ZXLw5AZgR
ballet slippers,Black,Black,Black,Kicks,All Year,Elegant,fairy tale; sporty; theatrical; work,10158,oQNLiop5Do6CH5eTu
ballet slippers,White,Beige,Beige,Kicks,All Year,Elegant,fairy tale; sporty; theatrical; work,10159,cQt3ftJejYwuPrqWS
ballet slippers,Yellow,Yellow,Yellow,Kicks,All Year,Elegant,fairy tale; sporty; theatrical; work,10160,Qv7eADgLwdsNuSBZZ
ballet slippers,Red,Orange,Orange,Kicks,All Year,Elegant,fairy tale; sporty; theatrical; work,10161,CpLSLkvz3Jo982p6e
basketball shoes,Red,Red,Black,Able Sisters,All Year,Active,sporty; work,5638,7xRWZmoxAaCxRYMuJ
basketball shoes,Green,Green,Black,Able Sisters,All Year,Active,sporty; work,10060,uRRCWDgRkrABjPdyg
basketball shoes,Beige,Beige,Black,Able Sisters,All Year,Active,sporty; work,10061,9qivZWfCZucqweqBJ
basketball shoes,Orange,Yellow,Black,Able Sisters,All Year,Active,sporty; work,10062,McTum2E4XpJfhavsX
basketball shoes,Blue,Blue,Black,Able Sisters,All Year,Active,sporty; work,10063,rixr4TkNPxrXrRRcw
basketball shoes,Purple,Purple,Black,Able Sisters,All Year,Active,sporty; work,10064,ryZhP2vjw4vQNiPMx
basketball shoes,Light blue,Light blue,Black,Able Sisters,All Year,Active,sporty; work,10065,JhY975aRNditFYyhm
basketball shoes,Pink,Pink,Black,Able Sisters,All Year,Active,sporty; work,10066,a7uqKcknGcWHoD43C
beaded sandals,Orange,Orange,Colorful,Able Sisters,Summer,Gorgeous,everyday; comfy; vacation,5478,otoeZ6wQmT38HECcy
beaded sandals,Purple,Purple,Colorful,Able Sisters,Summer,Gorgeous,everyday; comfy; vacation,10137,kCEzmje6LKzAuHemd
beaded sandals,Yellow,Yellow,Colorful,Able Sisters,Summer,Gorgeous,everyday; comfy; vacation,10138,pwpLSaDGk58SSvJYe
beaded sandals,Red,Red,Colorful,Able Sisters,Summer,Gorgeous,everyday; comfy; vacation,10139,ukMZbdaNwYXQgdzEJ
beaded sandals,Green,Green,Colorful,Able Sisters,Summer,Gorgeous,everyday; comfy; vacation,10140,Bjzm2LFHF6cwXKbfu
beaded sandals,Beige,Beige,Colorful,Able Sisters,Summer,Gorgeous,everyday; comfy; vacation,10141,veLWy2EQQ49fq6F7p
